City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
241,Cabinda,AO,78.01,broken clouds,-5.55,12.2,Hotel Maiombe
246,Bam,IR,77.72,clear sky,29.105999999999998,58.357,Bam Tourist Hotel
247,Balaipungut,ID,75.2,scattered clouds,1.05,101.2833,
251,Hambantota,LK,80.92,clear sky,6.1241,81.1185,Bungalow 63
252,Oriximina,BR,75.69,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
254,Kieta,PG,84.24,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
258,Piacabucu,BR,77.83,few clouds,-10.4056,-36.4344,Piaçabuçu News
259,Labuhan,ID,82.31,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
263,Doha,QA,82.4,clear sky,25.2867,51.5333,Movenpick Hotel Doha
268,Kingston,JM,78.8,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
269,Doka,SD,83.34,broken clouds,13.5167,35.7667,
270,Saint George,US,77.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
274,Sassandra,CI,79.12,light rain,4.95,-6.0833,la terrasse
275,Hervey Bay,AU,77.0,few clouds,-25.2986,152.8535,Shelly Bay Resort
278,Merauke,ID,84.4,scattered clouds,-8.4667,140.3333,
279,Neiafu,TO,82.4,broken clouds,-18.65,-173.9833,Mystic Sands
285,Yangjiang,CN,88.0,few clouds,21.85,111.9667,HUALUXE Yangjiang City Center
290,Salalah,OM,82.4,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
291,Tanout,NE,83.97,broken clouds,14.9709,8.8879,
297,Bengkulu,ID,80.22,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
300,Biltine,TD,84.63,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
301,Carutapera,BR,75.78,overcast clouds,-1.195,-46.02,Lidera
306,Sibu,MY,86.0,few clouds,2.3,111.8167,RH HOTEL (4 Star)
309,Waingapu,ID,83.39,clear sky,-9.6567,120.2641,Pondok Wisata Elim
316,Touros,BR,77.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
317,Ixtapa,MX,78.8,few clouds,20.7,-105.2,Hotel Plaza Providencia
318,Kota Belud,MY,87.8,few clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
322,Biak,ID,80.26,overcast clouds,-0.9131,122.8766,Penginapan Kim
324,Porto Novo,BJ,82.4,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
327,Alyangula,AU,87.8,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
333,Mahibadhoo,MV,83.73,scattered clouds,3.7833,72.9667,Omadhoo Inn
342,Ternate,ID,84.16,few clouds,0.8,127.4,Grand Dafam Bela Ternate
348,Dzaoudzi,YT,80.6,few clouds,-12.7887,45.2699,Le Rocher
351,Padang,ID,84.2,few clouds,-0.9492,100.3543,Mercure Padang
352,Mount Isa,AU,84.2,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
355,Sabang,ID,83.25,overcast clouds,5.8933,95.3214,Hotel Citra
358,Celestun,MX,86.9,overcast clouds,20.8667,-90.4,Posada Lilia
359,Meulaboh,ID,79.77,overcast clouds,4.1363,96.1285,Kost Pria
367,Nobres,BR,78.73,overcast clouds,-14.7203,-56.3275,Hotel Portal Nobres
