City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hobart,AU,2021-04-21 17:35:00,-42.8794,147.3294,53.01,66,90,4.61
68,Awjilah,LY,2021-04-21 17:38:13,29.1081,21.2869,77.14,17,72,9.15
69,Bethel,US,2021-04-21 17:38:13,41.3712,-73.414,63.0,59,20,12.66
70,Sao Felix Do Xingu,BR,2021-04-21 17:38:14,-6.6447,-51.995,80.91,74,99,3.2
71,Chalon-Sur-Saone,FR,2021-04-21 17:38:14,46.7833,4.85,59.0,58,48,5.75
72,Kanigoro,ID,2021-04-21 17:38:14,-8.13,112.219,70.9,90,11,3.38
73,Bluff,NZ,2021-04-21 17:38:15,-46.6,168.3333,46.99,97,98,1.01
74,Harper,LR,2021-04-21 17:38:15,4.375,-7.7169,83.35,76,99,9.42
75,San Martin,AR,2021-04-21 17:38:15,-33.081,-68.4681,55.4,88,90,4.61
76,Antigonish,CA,2021-04-21 17:38:16,45.6169,-61.9986,61.0,51,71,5.01
77,Zhumadian,CN,2021-04-21 17:38:16,32.9794,114.0294,50.88,96,100,7.4
78,East London,ZA,2021-04-21 17:38:16,-33.0153,27.9116,68.0,88,40,4.61
79,Tiksi,RU,2021-04-21 17:38:17,71.6872,128.8694,7.57,91,97,10.98
80,Kumylzhenskaya,RU,2021-04-21 17:38:17,49.8809,42.5898,51.01,85,52,8.08
81,Grindavik,IS,2021-04-21 17:38:17,63.8424,-22.4338,44.6,76,90,14.97
82,Rodrigues Alves,BR,2021-04-21 17:38:18,-7.738,-72.6509,86.0,74,75,9.22
83,Eidfjord,NO,2021-04-21 17:38:18,60.4675,7.0719,35.8,82,70,6.44
84,Isangel,VU,2021-04-21 17:34:09,-19.55,169.2667,77.61,87,62,5.59
85,Lekoni,GA,2021-04-21 17:38:18,-1.5843,14.2591,74.01,87,97,6.35
86,Mar Del Plata,AR,2021-04-21 17:38:19,-38.0023,-57.5575,69.8,94,40,16.11
87,Vila,PT,2021-04-21 17:38:19,42.0304,-8.1588,53.6,100,75,4.61
88,Betsiamites,CA,2021-04-21 17:38:19,48.9413,-68.646,42.8,52,40,16.11
89,Yellowknife,CA,2021-04-21 17:37:46,62.456,-114.3525,23.0,68,90,20.71
90,Fortuna,US,2021-04-21 17:36:53,40.5982,-124.1573,54.0,100,90,4.61
91,Bussigny,CH,2021-04-21 17:38:20,46.5511,6.556,55.0,65,52,1.99
92,Agadez,NE,2021-04-21 17:38:20,19.75,10.25,92.79,6,7,11.81
93,Cherskiy,RU,2021-04-21 17:38:20,68.75,161.3,25.74,69,24,16.8
94,Padang,ID,2021-04-21 17:38:21,-0.9492,100.3543,73.4,100,75,6.91
95,Shenkursk,RU,2021-04-21 17:38:21,62.1091,42.896,38.41,90,100,13.44
96,Sao Filipe,CV,2021-04-21 17:38:22,14.8961,-24.4956,73.45,70,100,11.48
97,Santa Isabel,BR,2021-04-21 17:38:22,-23.3156,-46.2214,73.4,64,75,5.75
98,Hofn,IS,2021-04-21 17:38:23,64.2539,-15.2082,44.6,49,20,6.91
99,Tromso,NO,2021-04-21 17:35:58,69.6496,18.957,35.6,69,75,8.05
100,Marienburg,PL,2021-04-21 17:38:23,54.0359,19.0266,52.0,57,80,9.86
101,Longyearbyen,SJ,2021-04-21 17:38:23,78.2186,15.6401,26.6,63,75,3.98
102,Mittagong,AU,2021-04-21 17:38:25,-34.45,150.45,50.0,86,0,1.99
103,Buala,SB,2021-04-21 17:38:25,-8.145,159.5921,79.43,81,76,1.99
104,Thompson,CA,2021-04-21 17:38:26,55.7435,-97.8558,44.6,39,1,10.36
105,Ozieri,IT,2021-04-21 17:38:26,40.586,9.0012,57.2,94,40,5.75
106,Iberia,US,2021-04-21 17:38:27,29.9502,-91.7507,63.0,48,1,19.57
107,Trinidad,BO,2021-04-21 17:36:30,-14.8333,-64.9,86.0,74,75,9.22
108,Oromocto,CA,2021-04-21 17:34:35,45.8351,-66.4792,59.0,44,90,11.5
109,Souillac,MU,2021-04-21 17:33:48,-20.5167,57.5167,77.0,88,75,4.61
110,Sorland,NO,2021-04-21 17:38:28,67.667,12.6934,37.4,70,40,13.8
111,Bathsheba,BB,2021-04-21 17:38:28,13.2167,-59.5167,84.2,54,40,20.71
112,Tuktoyaktuk,CA,2021-04-21 17:38:28,69.4541,-133.0374,10.4,85,90,25.32
113,Esso,RU,2021-04-21 17:38:28,55.9333,158.7,23.36,98,95,4.59
114,Tsevie,TG,2021-04-21 17:38:29,6.4261,1.2133,87.8,74,20,14.97
115,Santa Maria,BR,2021-04-21 17:38:29,-29.6842,-53.8069,80.6,50,0,11.5
116,Tsybli,UA,2021-04-21 17:38:30,49.9948,31.5628,48.2,66,0,4.47
117,Miyako,JP,2021-04-21 17:38:30,39.6367,141.9525,45.5,46,0,10.02
118,Leningradskiy,RU,2021-04-21 17:38:30,69.3833,178.4167,22.37,62,36,7.49
119,San Cristobal,VE,2021-04-21 17:38:31,7.7669,-72.225,89.6,51,40,9.22
120,Hilo,US,2021-04-21 17:38:31,19.7297,-155.09,73.4,78,90,4.61
121,Lebu,CL,2021-04-21 17:38:32,-37.6167,-73.65,57.02,78,73,15.73
122,Inirida,CO,2021-04-21 17:38:32,3.8653,-67.9239,90.21,53,47,3.71
123,Bushehr,IR,2021-04-21 17:38:33,28.9684,50.8385,80.6,61,0,3.8
124,Hermanus,ZA,2021-04-21 17:38:33,-34.4187,19.2345,66.0,81,68,5.01
125,Lompoc,US,2021-04-21 17:36:29,34.6391,-120.4579,53.6,82,95,4.61
126,Vallenar,CL,2021-04-21 17:35:15,-28.5708,-70.7581,78.1,24,36,7.36
127,Maldonado,UY,2021-04-21 17:35:08,-34.6667,-54.9167,75.99,64,75,14.97
128,Anadyr,RU,2021-04-21 17:38:33,64.75,177.4833,5.0,85,34,4.47
129,Serebryansk,KZ,2021-04-21 17:38:34,49.6925,83.2892,28.4,59,75,4.47
130,Walvis Bay,NA,2021-04-21 17:38:34,-22.9575,14.5053,80.6,36,96,11.5
131,Hami,CN,2021-04-21 17:38:35,42.8,93.45,70.45,14,92,6.22
132,Ribeira Grande,PT,2021-04-21 17:38:35,38.5167,-28.7,64.4,94,75,28.77
133,Dunedin,NZ,2021-04-21 17:38:22,-45.8742,170.5036,52.0,96,100,4.56
134,Khatanga,RU,2021-04-21 17:38:35,71.9667,102.5,7.93,91,100,13.33
