City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
80,San Juan Bautista,-14.0108,-75.7358,66.99,82,0,3.44,PE,clear sky
81,Yellowknife,62.456,-114.3525,15.8,57,75,11.5,CA,broken clouds
82,Georgetown,5.4112,100.3354,78.8,94,40,3.44,MY,scattered clouds
83,Massakory,12.996,15.7293,88.59,16,30,9.19,TD,scattered clouds
84,Antropovo,58.3988,43.0066,41.45,91,49,7.11,RU,scattered clouds
85,Atuona,-9.8,-139.0333,80.38,78,23,23.85,PF,light rain
86,Bologoye,57.8799,34.1068,32.97,83,100,3.4,RU,overcast clouds
87,Qurayyat,31.3318,37.3428,71.6,18,0,13.8,SA,clear sky
88,Zyryanovsk,49.7386,84.2719,31.77,89,100,1.86,KZ,light snow
89,Tsiroanomandidy,-18.7667,46.0333,61.38,94,87,3.04,MG,overcast clouds
90,Pattani,6.75,100.4167,80.6,83,40,5.75,TH,scattered clouds
91,Talnakh,69.4865,88.3972,31.98,97,100,9.82,RU,snow
92,New Iberia,30.0035,-91.8187,71.6,88,90,18.41,US,light rain
93,Hilo,19.7297,-155.09,77.0,61,90,11.5,US,light rain
94,Sur,22.5667,59.5289,84.74,33,0,6.6,OM,clear sky
95,Marrakesh,31.6315,-8.0083,60.8,77,100,6.91,MA,overcast clouds
96,New Norfolk,-42.7826,147.0587,60.01,73,96,4.0,AU,overcast clouds
97,Mmathubudukwane,-24.6,26.4333,51.8,71,0,4.61,BW,clear sky
98,Grand-Santi,4.25,-54.3833,73.15,99,100,0.83,GF,moderate rain
99,Bathsheba,13.2167,-59.5167,78.8,65,20,17.27,BB,few clouds
100,Port Keats,-14.25,129.55,87.84,23,90,13.51,AU,overcast clouds
101,Mount Gambier,-37.8333,140.7667,59.0,88,75,10.36,AU,broken clouds
102,Albany,42.6001,-73.9662,46.99,42,2,4.97,US,clear sky
103,Pohrebyshche,49.4864,29.2636,34.29,83,3,9.17,UA,clear sky
104,Shimoda,34.6667,138.95,60.8,63,75,10.36,JP,broken clouds
105,Nuoro,40.3211,9.3297,53.6,62,0,4.61,IT,clear sky
106,Esperance,-33.8667,121.9,69.8,56,100,12.66,AU,overcast clouds
107,Cabo San Lucas,22.8909,-109.9124,75.99,56,20,3.44,MX,few clouds
108,Tiksi,71.6872,128.8694,16.84,81,100,14.03,RU,overcast clouds
109,Bethel,41.3712,-73.414,51.01,53,1,5.75,US,clear sky
110,Kahului,20.8947,-156.47,80.6,57,20,20.71,US,few clouds
111,Kendari,-3.945,122.4989,87.3,58,31,1.88,ID,scattered clouds
112,Ust-Nera,64.5667,143.2,18.1,74,100,4.81,RU,overcast clouds
113,Los Lunas,34.8062,-106.7334,61.0,30,20,11.5,US,few clouds
114,Traverse City,44.7631,-85.6206,53.6,35,90,5.75,US,overcast clouds
115,Cockburn Town,21.4612,-71.1419,78.17,79,3,17.83,TC,clear sky
116,Arinos,-15.9169,-46.1056,75.85,54,84,0.31,BR,broken clouds
117,Preobrazheniye,42.9019,133.9064,56.61,56,100,6.17,RU,overcast clouds
118,Mar Del Plata,-38.0023,-57.5575,66.2,72,90,6.91,AR,moderate rain
119,Luderitz,-26.6481,15.1594,63.52,74,4,7.56,NA,clear sky
120,Winton,37.3894,-120.6133,73.4,33,1,8.05,US,clear sky
121,Price,39.5994,-110.8107,55.4,21,1,13.8,US,clear sky
122,Kita,13.0349,-9.4895,88.25,33,80,7.27,ML,broken clouds
123,Lorengau,-2.0226,147.2712,81.14,80,90,6.96,PG,overcast clouds
124,Te Anau,-45.4167,167.7167,50.94,72,100,4.76,NZ,overcast clouds
125,Barzas,55.7167,86.3167,37.4,35,0,11.18,RU,clear sky
126,Berlevag,70.8578,29.0864,33.26,76,100,17.18,NO,light snow
127,Egvekinot,66.3167,-179.1667,31.96,88,100,3.94,RU,overcast clouds
128,Ponta Do Sol,32.6667,-17.1,60.01,80,21,4.0,PT,few clouds
129,Saveh,35.0213,50.3566,65.93,42,100,1.97,IR,overcast clouds
130,Maiduguri,11.8464,13.1603,83.41,14,93,4.79,NG,overcast clouds
131,Camacha,33.0833,-16.3333,60.8,82,40,11.5,PT,scattered clouds
132,Tautira,-17.7333,-149.15,82.4,74,40,8.05,PF,scattered clouds
133,Vallenar,-28.5708,-70.7581,57.81,77,44,0.74,CL,scattered clouds
134,Saint-Philippe,-21.3585,55.7679,75.2,73,0,4.61,RE,moderate rain
135,Teluk Nibung,3.001,99.8164,76.84,88,100,2.68,ID,overcast clouds
136,Lebu,-37.6167,-73.65,52.45,91,79,7.38,CL,broken clouds
137,Kubuta,-26.8833,31.4833,55.6,87,3,4.05,SZ,clear sky
138,Vila Velha,-20.3297,-40.2925,75.2,78,75,4.61,BR,broken clouds
139,Mendi,-6.1761,143.6513,65.8,81,72,4.21,PG,broken clouds
140,Vermilion,40.1667,-87.7506,53.6,62,90,3.44,US,overcast clouds
141,College,64.8569,-147.8028,59.0,21,20,4.61,US,few clouds
142,Coihaique,-45.5752,-72.0662,48.2,76,75,6.91,CL,broken clouds
143,Batticaloa,7.7102,81.6924,81.73,76,8,1.57,LK,clear sky
144,Plettenberg Bay,-34.0527,23.3716,60.01,87,81,4.47,ZA,broken clouds
145,Saint-Augustin,51.226,-58.6502,32.23,97,100,11.92,CA,light snow
146,Varna,43.2167,27.9167,45.0,93,0,4.61,BG,clear sky
147,Upernavik,72.7868,-56.1549,27.95,86,100,4.99,GL,light snow
148,Flinders,-34.5833,150.8552,71.01,52,100,3.0,AU,overcast clouds
149,Cabedelo,-6.9811,-34.8339,77.0,88,40,3.44,BR,scattered clouds
150,Lompoc,34.6391,-120.4579,53.6,76,4,8.05,US,clear sky
151,East London,-33.0153,27.9116,62.29,75,3,7.09,ZA,clear sky
152,Salinopolis,-0.6136,-47.3561,78.42,87,100,7.87,BR,light rain
153,Shenkursk,62.1091,42.896,45.52,83,100,8.39,RU,overcast clouds
154,Blagodatnoye,45.3997,42.5867,51.01,76,0,6.71,RU,light rain
155,Pisco,-13.7,-76.2167,66.99,82,0,3.44,PE,clear sky
156,Kloulklubed,7.0419,134.2556,87.8,66,75,12.66,PW,broken clouds
157,Victoria,22.2855,114.1577,79.0,80,78,1.01,HK,broken clouds
158,Saskylakh,71.9167,114.0833,33.57,97,100,20.42,RU,overcast clouds
